Step,AgentID,Color,Transporting,Position
23,1123,green,[1095],"(6, 24)"
23,1124,green,[],"(0, 27)"
23,1125,yellow,[],"(10, 3)"
23,1126,yellow,[],"(10, 25)"
23,1127,yellow,[1098],"(10, 30)"
23,1128,yellow,[1109],"(10, 16)"
23,1129,yellow,[],"(10, 18)"
23,1130,red,[1111],"(32, 18)"
23,1131,red,[],"(21, 21)"
23,1132,red,[],"(21, 3)"
23,1133,red,[],"(21, 22)"
23,1134,red,[1118],"(32, 30)"
24,1120,green,[1097],"(7, 11)"
24,1121,green,[],"(5, 28)"
24,1122,green,[],"(9, 32)"
24,1123,green,[1095],"(7, 23)"
24,1124,green,[],"(1, 27)"
24,1125,yellow,[],"(10, 4)"
24,1126,yellow,[],"(10, 24)"
24,1127,yellow,[1098],"(10, 31)"
24,1128,yellow,[1109],"(10, 17)"
24,1129,yellow,[],"(10, 19)"
24,1130,red,[1111],"(32, 19)"
24,1131,red,[],"(21, 20)"
24,1132,red,[],"(21, 4)"
24,1133,red,[],"(21, 21)"
24,1134,red,[1118],"(32, 31)"
25,1120,green,[1097],"(7, 12)"
25,1121,green,[],"(6, 29)"
25,1122,green,[],"(10, 31)"
25,1123,green,[1095],"(8, 24)"
25,1124,green,[],"(2, 26)"
25,1125,yellow,[],"(10, 5)"
25,1126,yellow,[],"(10, 23)"
25,1127,yellow,[1098],"(10, 30)"
25,1128,yellow,[1109],"(10, 18)"
25,1129,yellow,[],"(10, 20)"
25,1130,red,[1111],"(32, 20)"
25,1131,red,[],"(21, 19)"
25,1132,red,[],"(21, 3)"
25,1133,red,[],"(21, 22)"
25,1134,red,[1118],"(32, 32)"
26,1120,green,[1097],"(8, 12)"
26,1121,green,[],"(7, 29)"
26,1122,green,[],"(9, 31)"
26,1123,green,[1095],"(9, 23)"
26,1124,green,[],"(2, 27)"
26,1125,yellow,[],"(10, 4)"
26,1126,yellow,[],"(10, 24)"
26,1127,yellow,[1098],"(10, 31)"
26,1128,yellow,[1109],"(10, 19)"
26,1129,yellow,[],"(10, 21)"
26,1130,red,[1111],"(32, 21)"
26,1131,red,[],"(21, 18)"
26,1132,red,[],"(21, 2)"
26,1133,red,[],"(21, 23)"
26,1134,red,[],"(32, 32)"
27,1120,green,[1097],"(9, 12)"
27,1121,green,[],"(8, 28)"
27,1122,green,[],"(9, 30)"
27,1123,green,[1095],"(10, 24)"
27,1124,green,[],"(2, 26)"
27,1125,yellow,[],"(10, 5)"
27,1126,yellow,[],"(10, 23)"
27,1127,yellow,[1098],"(10, 30)"
27,1128,yellow,[1109],"(10, 20)"
27,1129,yellow,[],"(10, 20)"
27,1130,red,[1111],"(32, 22)"
27,1131,red,[],"(21, 17)"
27,1132,red,[],"(21, 1)"
27,1133,red,[],"(21, 24)"
27,1134,red,[],"(31, 32)"
28,1120,green,[1097],"(10, 12)"
28,1121,green,[],"(9, 29)"
28,1122,green,[],"(10, 31)"
28,1123,green,[1095],"(9, 24)"
28,1124,green,[],"(3, 25)"
28,1125,yellow,[],"(10, 6)"
28,1126,yellow,[],"(10, 24)"
28,1127,yellow,[1098],"(10, 31)"
28,1128,yellow,[1109],"(10, 21)"
28,1129,yellow,[],"(10, 19)"
28,1130,red,[1111],"(32, 23)"
28,1131,red,[],"(21, 18)"
28,1132,red,[],"(21, 0)"
28,1133,red,[],"(21, 25)"
28,1134,red,[],"(30, 32)"
29,1120,green,[],"(10, 12)"
29,1121,green,[],"(10, 28)"
29,1122,green,[],"(9, 32)"
29,1123,green,[1095],"(10, 23)"
29,1124,green,[],"(3, 24)"
29,1125,yellow,[],"(10, 5)"
29,1126,yellow,[],"(10, 25)"
29,1127,yellow,[1098],"(10, 32)"
29,1128,yellow,[1109],"(10, 20)"
29,1129,yellow,[],"(10, 20)"
29,1130,red,[1111],"(32, 24)"
29,1131,red,[],"(21, 19)"
29,1132,red,[],"(21, 1)"
29,1133,red,[],"(21, 24)"
29,1134,red,[],"(29, 32)"
30,1120,green,[],"(9, 12)"
30,1121,green,[],"(10, 27)"
30,1122,green,[],"(9, 31)"
30,1123,green,[1095],"(10, 22)"
30,1124,green,[],"(2, 23)"
30,1125,yellow,[],"(10, 4)"
30,1126,yellow,[],"(10, 24)"
30,1127,yellow,[1098],"(10, 31)"
30,1128,yellow,[1109],"(10, 21)"
30,1129,yellow,[],"(10, 21)"
30,1130,red,[1111],"(32, 25)"
30,1131,red,[],"(21, 18)"
30,1132,red,[],"(21, 0)"
30,1133,red,[],"(21, 23)"
30,1134,red,[],"(28, 32)"
31,1120,green,[],"(8, 12)"
31,1121,green,[],"(9, 26)"
31,1122,green,[],"(10, 30)"
31,1123,green,[1095],"(10, 21)"
31,1124,green,[],"(3, 24)"
31,1125,yellow,[],"(10, 3)"
31,1126,yellow,[],"(10, 25)"
31,1127,yellow,[1098],"(10, 30)"
31,1128,yellow,[1109],"(10, 22)"
31,1129,yellow,[],"(10, 22)"
31,1130,red,[1111],"(32, 26)"
31,1131,red,[],"(21, 17)"
31,1132,red,[],"(21, 1)"
31,1133,red,[],"(21, 22)"
31,1134,red,[],"(27, 32)"
32,1120,green,[],"(7, 11)"
32,1121,green,[],"(10, 25)"
32,1122,green,[],"(9, 31)"
32,1123,green,[1095],"(10, 20)"
32,1124,green,[],"(2, 25)"
32,1125,yellow,[],"(10, 4)"
32,1126,yellow,[],"(10, 24)"
32,1127,yellow,[1098],"(10, 29)"
32,1128,yellow,[1109],"(10, 21)"
32,1129,yellow,[],"(10, 23)"
32,1130,red,[1111],"(32, 27)"
32,1131,red,[],"(21, 16)"
32,1132,red,[],"(21, 0)"
32,1133,red,[],"(21, 23)"
32,1134,red,[],"(26, 32)"
33,1120,green,[],"(6, 10)"
33,1121,green,[],"(9, 25)"
33,1122,green,[],"(8, 32)"
33,1123,green,[1095],"(9, 21)"
33,1124,green,[],"(3, 24)"
33,1125,yellow,[],"(10, 3)"
33,1126,yellow,[],"(10, 25)"
33,1127,yellow,[1098],"(10, 28)"
33,1128,yellow,[1109],"(10, 22)"
33,1129,yellow,[],"(10, 24)"
33,1130,red,[1111],"(32, 28)"
33,1131,red,[],"(21, 17)"
33,1132,red,[],"(21, 1)"
33,1133,red,[],"(21, 22)"
33,1134,red,[],"(25, 32)"
34,1120,green,[],"(5, 11)"
34,1121,green,[],"(10, 24)"
34,1122,green,[],"(9, 32)"
34,1123,green,[1095],"(9, 22)"
34,1124,green,[],"(4, 23)"
34,1125,yellow,[],"(10, 4)"
34,1126,yellow,[],"(10, 26)"
34,1127,yellow,[1098],"(10, 29)"
34,1128,yellow,[1109],"(10, 21)"
34,1129,yellow,[],"(10, 25)"
34,1130,red,[1111],"(32, 29)"
34,1131,red,[],"(21, 18)"
34,1132,red,[],"(21, 0)"
34,1133,red,[],"(21, 23)"
34,1134,red,[],"(24, 32)"
35,1120,green,[],"(4, 10)"
35,1121,green,[],"(9, 25)"
35,1122,green,[],"(10, 32)"
35,1123,green,[1095],"(10, 22)"
35,1124,green,[],"(3, 23)"
35,1125,yellow,[],"(10, 5)"
35,1126,yellow,[],"(10, 25)"
35,1127,yellow,[1098],"(10, 30)"
35,1128,yellow,[1109],"(10, 22)"
35,1129,yellow,[],"(10, 24)"
35,1130,red,[1111],"(32, 30)"
35,1131,red,[],"(21, 17)"
35,1132,red,[],"(21, 1)"
35,1133,red,[],"(21, 24)"
35,1134,red,[],"(23, 32)"
36,1120,green,[],"(4, 9)"
36,1121,green,[],"(9, 26)"
36,1122,green,[],"(10, 31)"
36,1123,green,[1095],"(10, 23)"
36,1124,green,[],"(3, 22)"
36,1125,yellow,[],"(10, 4)"
36,1126,yellow,[],"(10, 24)"
36,1127,yellow,[1098],"(10, 31)"
36,1128,yellow,[1109],"(10, 21)"
36,1129,yellow,[],"(10, 25)"
36,1130,red,[1111],"(32, 31)"
36,1131,red,[],"(21, 18)"
36,1132,red,[],"(21, 2)"
36,1133,red,[],"(21, 23)"
36,1134,red,[],"(22, 32)"
37,1120,green,[],"(5, 8)"
37,1121,green,[],"(9, 25)"
37,1122,green,[],"(9, 31)"
37,1123,green,[1095],"(10, 24)"
37,1124,green,[],"(2, 23)"
37,1125,yellow,[],"(10, 3)"
37,1126,yellow,[],"(10, 23)"
37,1127,yellow,[1098],"(10, 32)"
37,1128,yellow,[1109],"(10, 22)"
37,1129,yellow,[],"(10, 26)"
37,1130,red,[1111],"(32, 32)"
37,1131,red,[],"(21, 19)"
37,1132,red,[],"(21, 3)"
37,1133,red,[],"(21, 22)"
37,1134,red,[],"(21, 32)"
38,1120,green,[1091],"(4, 7)"
38,1121,green,[],"(10, 24)"
38,1122,green,[],"(8, 30)"
38,1123,green,[1095],"(9, 23)"
38,1124,green,[],"(1, 23)"
38,1125,yellow,[],"(10, 4)"
38,1126,yellow,[],"(10, 24)"
38,1127,yellow,[1098],"(10, 31)"
38,1128,yellow,[1109],"(10, 23)"
38,1129,yellow,[],"(10, 25)"
38,1130,red,[],"(32, 32)"
38,1131,red,[],"(21, 20)"
38,1132,red,[],"(21, 4)"
38,1133,red,[],"(21, 23)"
38,1134,red,[],"(21, 31)"
39,1120,green,[1091],"(5, 6)"
39,1121,green,[],"(9, 24)"
39,1122,green,[],"(7, 29)"
39,1123,green,[1095],"(10, 23)"
39,1124,green,[],"(0, 24)"
39,1125,yellow,[],"(10, 5)"
39,1126,yellow,[],"(10, 25)"
39,1127,yellow,[1098],"(10, 30)"
39,1128,yellow,[1109],"(10, 24)"
39,1129,yellow,[],"(10, 24)"
39,1130,red,[],"(31, 32)"
39,1131,red,[],"(21, 21)"
39,1132,red,[],"(21, 5)"
39,1133,red,[],"(21, 24)"
39,1134,red,[],"(21, 32)"
40,1120,green,[1091],"(4, 5)"
40,1121,green,[],"(8, 25)"
40,1122,green,[],"(6, 28)"
40,1123,green,[1095],"(10, 24)"
40,1124,green,[],"(1, 25)"
40,1125,yellow,[],"(10, 4)"
40,1126,yellow,[],"(10, 26)"
40,1127,yellow,[1098],"(10, 29)"
40,1128,yellow,[1109],"(10, 25)"
40,1129,yellow,[],"(10, 25)"
40,1130,red,[],"(30, 32)"
40,1131,red,[],"(21, 20)"
40,1132,red,[],"(21, 4)"
40,1133,red,[],"(21, 23)"
40,1134,red,[],"(21, 31)"
41,1120,green,[1091],"(5, 4)"
41,1121,green,[],"(7, 24)"
41,1122,green,[],"(5, 29)"
41,1123,green,[1095],"(10, 23)"
41,1124,green,[],"(0, 26)"
41,1125,yellow,[],"(10, 5)"
41,1126,yellow,[],"(10, 27)"
41,1127,yellow,[1098],"(10, 30)"
41,1128,yellow,[1109],"(10, 26)"
41,1129,yellow,[],"(10, 26)"
41,1130,red,[],"(29, 32)"
41,1131,red,[],"(21, 19)"
41,1132,red,[],"(21, 5)"
41,1133,red,[],"(21, 22)"
41,1134,red,[],"(21, 32)"
42,1120,green,[1091],"(4, 3)"
42,1121,green,[],"(6, 25)"
42,1122,green,[],"(6, 30)"
42,1123,green,[1095],"(10, 24)"
42,1124,green,[],"(1, 26)"
42,1125,yellow,[],"(10, 4)"
42,1126,yellow,[],"(10, 26)"
42,1127,yellow,[1098],"(10, 31)"
42,1128,yellow,[1109],"(10, 25)"
42,1129,yellow,[],"(10, 25)"
